COUNTRY,AREA,YEAR,TEMPERATURE,GDP PER CAPITA,POPULATION DENSITY,LATITUDE,LONGITUDE,ELEVATION
Vietnam,Kon Tum,2023,26.89,2488.72,61.1,107.99,14.36,543
Vietnam,Kon Tum,2024,27.07,2651.98,62.2,107.99,14.36,543
Vietnam,Vĩnh Long,2015,30.63,1553.79,673.1,106.05,10.09,1
Vietnam,Vĩnh Long,2016,29.97,1745.29,670.4,106.05,10.09,1
Vietnam,Vĩnh Long,2017,29.83,1936.78,670.2,106.05,10.09,1
Vietnam,Vĩnh Long,2018,29.1,2128.27,670.3,106.05,10.09,1
Vietnam,Vĩnh Long,2019,29.4,2295.43,670.6,106.05,10.09,1
Vietnam,Vĩnh Long,2020,29.53,2468.51,671,106.05,10.09,1
Vietnam,Vĩnh Long,2021,29.31,2482.14,674,106.05,10.09,1
Vietnam,Vĩnh Long,2022,29.09,2947.73,674.6,106.05,10.09,1
Vietnam,Vĩnh Long,2023,28.87,3085.73,674.1,106.05,10.09,1
Vietnam,Vĩnh Long,2024,28.65,3277.22,679.9,106.05,10.09,1
